"name","description","price","address","link","image","tag_list"
"Kiddy Land","Kiddy Land is one of the biggest and most well-known toy shops in Japan. There are a few stores throughout the country including one at Harajuku. Shop your favourite toys from Disney, Hello Kitty, Rilakkuma, Miffy and much more tax-free.","Free","Jingu-mae, Shibuya","https://www.kiddyland.co.jp/","https://japandeluxetours.com/uploads/2015/09/20150903175142_55e8dd0eeacb7.jpg","Indoor"
"Studio Ghibli Museum","Studio Ghibli is an animation house often touted as the Disney of Japan. It’s famous for producing hit films including Spirited Away, My Neighbor Totoro and Howl’s Moving Castle. The museum in Mitaka is a magical place for kids of all ages.","1000","1-1-83 Shimorenjaku, Mitaka","https://www.ghibli.jp/","https://media.timeout.com/images/105646226/image.jpg","Indoor"
"Tokyo Skytree","At 634 metres high, Tokyo Skytree is the largest free-standing broadcasting tower in the world. There are observation decks at 350m and 450m above street-level. Enjoy a cup of tea or an ice-cream with a birds eye view of the sprawling Tokyo metropolis. After visiting, explore the 300 shops and restaurants at nearby Solamachi – Skytree Town. There is a Pokemon Center there.","2100","Sumida-City, Tokyo","https://www.tokyo-skytree.jp/en/","https://www.tokyo-skytree.jp/img/img_top_01_sp.jpg","Indoor Sightseeing"
"Tokyo Disney Resort","Tokyo Disney Resort is made up of two parks: Tokyo Disneyland and Tokyo Disney Sea. The former is like the Disneyland in Anaheim, with characters walking around and familiar popular attractions in themed ‘lands’. The latter is a theme park inspired by ocean tales legends, with seven themed areas called ‘ports’. It’s unique to Japan.","8200","Urayasu, Chiba","https://www.tokyodisneyresort.jp/en/index.html","https://www.japan-guide.com/g3/3016_01.jpg","Indoor FoodandDrink Outdoor"
"Sanrio Puroland","Sanrio Puroland is a Hello Kitty indoor theme park located in Tama, in outer Tokyo. Enjoy parades, shows, meet and greets with your favourite Hello Kitty and friends characters, shopping and dining.","3300","Tama, Tokyo","https://en.puroland.jp/","https://rimage.gnst.jp/livejapan.com/public/article/detail/a/00/03/a0003190/img/basic/a0003190_main.jpg","Indoor"
"Cupnoodles Museum","The Cupnoodles Museum is an interactive museum located in Yokohama, about 30 mins from Tokyo by train. Learn all about how cup noodles are made and even make your own special flavoured cup noodles to take home with you!","500","Yokohama","https://www.cupnoodles-museum.jp/en/yokohama/","https://gaijinpot.scdn3.secure.raxcdn.com/app/uploads/sites/4/2014/09/cup-noodles-hd-1024x640.jpg","Indoor FoodandDrink"
"Legoland Discovery Center","Legoland Discovery Center was Japan’s first LEGO attraction, located in Decks Mall in Odaiba. This attraction is made for smaller children (aged 3-10) and everything is kid-sized. There are displays, rides, a building centre for LEGO and DUPLO, a cafe, 4D cinema and more.","1950","1-6-1 Daiba","https://www.legolanddiscoverycenter.com/tokyo/en/","https://media.timeout.com/images/102576222/image.jpg","Indoor"
"Zauo","Zauo is a unique restaurant where you catch your own fish! The restaurant’s main area is shaped like a boat, lined with tanks. When seated, hosts will give you rods and bait. If you catch a fish, staff will come to your table, and cook your fish how you like (e.g. grilled, deep-fried, sashimi or sushi). No luck at fishing? You can still order off the menu.","2500+","3-2-9 Shinjuku","https://www.zauo.com/en/","https://www.zauo.com/en/wp-content/themes/zauo/images/shop/pho_shibuya02.jpg","FoodandDrink"
"Fuji Q Highland","Take your older kids to Fuji Q Highland, a theme park located in the Fuji Five Lakes region of Yamanashi Prefecture. The park boasts views of Mt Fuji. From Tokyo, you can get there by train or bus in around two hours. Fuji Q Highland is home to some terrifying and thrilling rides and attractions like Takabisha with one of the steepest drops in the world, Dododonpa with the fastest acceleration and the Super Scary Labyrinth of Fear, a walk through house of horrors.","2000+ per ride","5-6-1 Shinnishihara","https://www.fujiq.jp/en/","https://gaijinpot.scdn3.secure.raxcdn.com/app/uploads/sites/4/2014/08/takabisha.jpg","Outdoor"
"Ueno Zoo","Kids will love this well spaced and relaxing area featuring a surprisingly wide array of animals (elephants, pandas and tigers being the highlights). Gets very busy on weekends. A 10 minute walk from Ueno Subway and JR Station. Closed Monday – If Monday is a national holiday, the Museum is open Monday and closed the following Tuesday","600","9-83 Uenokoen","https://www.tokyo-zoo.net/english/ueno/index.html","https://netmobius.freetls.fastly.net/images-stn-ueno/79-Ueno-Zoo1.jpg","Outdoor Sightseeing"
